,CV Accuracy,CV F1,CV AUC-ROC,CV AUC std,Test AUC,Test F1
Stacking (XGB+LGB+RF),0.6347,0.4116,0.7179,0.0027,0.6477,0.3659
XGBoost (tuned),0.6403,0.4119,0.7177,0.0028,0.6475,0.3662
CatBoost,0.662,0.4119,0.7153,0.0026,0.6514,0.3678
XGBoost (untuned),0.6474,0.4095,0.7139,0.0023,0.648,0.3672
LightGBM,0.6634,0.4095,0.7129,0.0029,0.6492,0.366
MLP (128-64),0.8169,0.0987,0.7128,0.0029,0.6445,0.0607
MLP (256-128-64-32),0.8167,0.0844,0.7123,0.0021,0.6388,0.0829
LR + SMOTE,0.6441,0.4033,0.7038,0.0021,0.6278,0.3491
Random Forest (balanced),0.7569,0.3705,0.7029,0.0028,0.6465,0.3262
Decision Tree (balanced),0.6094,0.3883,0.6856,0.001,0.6263,0.3514
KNN (k=11),0.8089,0.1543,0.6538,0.0044,0.613,0.1248
CatBoost (leak-free CV),0.6328,0.3586,0.6368,0.001,,
XGBoost (Optuna),0.6109,0.3582,0.6358,0.001,0.6517,0.3691
XGBoost (tuned) (leak-free CV),0.6068,0.3568,0.6333,0.0012,,
Logistic Regression (balanced),0.3684,0.3032,0.5121,0.0019,,
Gaussian Naive Bayes,0.2155,0.3153,0.5081,0.0014,0.5085,0.3155
