,Best Threshold,F1 @ threshold,Precision,Recall,Default F1
XGBoost (Optuna),0.48,0.3696,0.2589,0.6458,0.3691
XGBoost (untuned),0.49,0.3686,0.2629,0.6166,0.3672
CatBoost,0.48,0.3685,0.2636,0.612,0.3678
Stacking (XGB+LGB+RF),0.47,0.3677,0.2538,0.6671,0.3659
LightGBM,0.49,0.3673,0.2676,0.5853,0.366
XGBoost (tuned),0.49,0.3671,0.2594,0.6272,0.3662
Random Forest (balanced),0.35,0.3663,0.2553,0.6478,0.3262
MLP (128-64),0.18,0.3646,0.2642,0.588,0.0607
MLP (256-128-64-32),0.22,0.3614,0.2658,0.5644,0.0829
LR + SMOTE,0.43,0.3543,0.2377,0.6956,0.3491
Decision Tree (balanced),0.46,0.354,0.2364,0.704,0.3514
KNN (k=11),0.1,0.3451,0.2305,0.6861,0.1248
Gaussian Naive Bayes,0.1,0.3155,0.1883,0.9741,0.3155
Logistic Regression,0.44,0.3134,0.1859,0.9992,0.2987
